t_s,constant_rate_heading_rad,accelerating_heading_rad
0.000000000000000000e+00,1.883343421480661029e-01,1.897743421480660997e-01
1.000000000000000056e-01,2.755619705598839619e-01,2.804019705598839729e-01
2.000000000000000111e-01,3.683173464158348565e-01,3.785573464158348833e-01
3.000000000000000444e-01,4.477825727170683945e-01,4.654225727170683835e-01
4.000000000000000222e-01,5.414880025471234815e-01,5.685280025471234344e-01
5.000000000000000000e-01,5.889241910305110794e-01,6.273641910305111091e-01
6.000000000000000888e-01,6.778046950275208316e-01,7.296446950275208287e-01
7.000000000000000666e-01,7.284340195151891573e-01,7.956740195151891237e-01
8.000000000000000444e-01,9.141445330766551081e-01,9.987845330766551566e-01
9.000000000000000222e-01,9.318174049326567454e-01,1.035857404932656545e+00
1.000000000000000000e+00,9.237802204906235826e-01,1.049220220490623579e+00
1.100000000000000089e+00,1.044137893059735589e+00,1.192977893059735672e+00
1.200000000000000178e+00,1.120633471942055648e+00,1.294873471942055820e+00
1.300000000000000044e+00,1.221854236000331495e+00,1.423494236000331536e+00
1.400000000000000133e+00,1.347446519414673416e+00,1.578486519414673328e+00
1.500000000000000000e+00,1.378162513823562030e+00,1.640602513823562036e+00
1.600000000000000089e+00,1.500765365873658608e+00,1.796605365873658711e+00
1.700000000000000178e+00,1.571983693522723824e+00,1.903223693522724025e+00
1.800000000000000044e+00,1.619855299186864439e+00,1.988495299186864296e+00
1.900000000000000133e+00,1.729493898715726674e+00,2.137533898715726632e+00
2.000000000000000000e+00,1.830137902137687123e+00,2.279577902137686962e+00
2.100000000000000089e+00,1.897086737680273583e+00,2.389926737680273749e+00
2.200000000000000178e+00,1.935397203268436117e+00,2.473637203268435947e+00
2.300000000000000266e+00,2.024863385677767358e+00,2.610503385677767518e+00
2.400000000000000355e+00,2.146470953782485314e+00,2.781510953782485807e+00
2.500000000000000000e+00,2.169339359912939358e+00,2.855779359912939519e+00
2.600000000000000089e+00,2.280975868224176306e+00,3.020815868224176359e+00
2.700000000000000178e+00,2.377705939029730153e+00,3.172945939029730322e+00
2.800000000000000266e+00,2.493024346047207906e+00,3.345664346047207971e+00
2.900000000000000355e+00,2.491132028374912988e+00,3.403172028374913172e+00
3.000000000000000000e+00,2.629782649522991012e+00,3.603222649522991095e+00
3.100000000000000089e+00,2.704516972709014144e+00,3.741356972709014350e+00
3.200000000000000178e+00,2.762900948150977420e+00,3.865140948150977529e+00
3.300000000000000266e+00,2.868233764798441943e+00,4.037873764798442622e+00
3.400000000000000355e+00,2.953478158585499003e+00,4.192518158585499144e+00
3.500000000000000000e+00,3.016438196126448812e+00,4.326878196126449083e+00
3.600000000000000089e+00,3.075571578839456865e+00,4.459411578839457491e+00
3.700000000000000178e+00,3.192282925591197085e+00,4.651522925591198288e+00
3.800000000000000266e+00,3.351494842549845643e+00,4.888134842549845871e+00
3.900000000000000355e+00,3.342478912639987421e+00,4.958518912639988230e+00
4.000000000000000000e+00,3.436979088744179567e+00,5.134419088744180293e+00
4.100000000000000533e+00,3.483004907177114529e+00,5.263844907177115395e+00
4.200000000000000178e+00,3.547819749175171289e+00,5.414059749175171632e+00
4.299999999999999822e+00,3.636621780697157025e+00,5.590261780697157512e+00
4.400000000000000355e+00,3.668759718643591849e+00,5.711799718643593593e+00
4.500000000000000000e+00,3.806629911560922341e+00,5.941069911560922456e+00
4.600000000000000533e+00,3.899557951314102322e+00,6.127397951314102365e+00
4.700000000000000178e+00,3.930972569942877470e+00,6.254212569942877664e+00
4.800000000000000711e+00,3.992766417570166482e+00,6.413406417570167051e+00
4.900000000000000355e+00,4.142262329915275210e+00,6.662302329915275934e+00
5.000000000000000000e+00,4.171648273522610140e+00,6.793088273522610798e+00
5.100000000000000533e+00,4.272586764074884691e+00,6.997426764074885064e+00
5.200000000000000178e+00,4.362189782671521243e+00,7.192429782671521998e+00
5.300000000000000711e+00,4.476438586439982714e+00,7.414078586439983631e+00
5.400000000000000355e+00,4.488036859360788888e+00,7.535076859360789747e+00
5.500000000000000000e+00,4.634124227479794023e+00,7.792564227479794603e+00
5.600000000000000533e+00,4.659760567882536897e+00,7.931600567882536978e+00
5.700000000000000178e+00,4.820356981948787478e+00,8.207596981948787729e+00
5.800000000000000711e+00,4.792963633646941446e+00,8.297603633646941645e+00
5.900000000000000355e+00,4.974614363456070443e+00,8.598654363456072147e+00
6.000000000000000000e+00,5.006756322660741887e+00,8.752196322660743988e+00
6.100000000000000533e+00,5.091982239691366097e+00,8.960822239691367486e+00
6.200000000000000178e+00,5.151282879135792747e+00,9.145522879135793204e+00
6.300000000000000711e+00,5.187281123442177844e+00,9.308921123442178924e+00
6.400000000000000355e+00,5.372191357981840554e+00,9.623231357981840262e+00
6.500000000000000000e+00,5.425401336064643587e+00,9.807841336064644366e+00
6.600000000000000533e+00,5.514239032966792742e+00,1.003007903296679260e+01
6.700000000000000178e+00,5.514431491443111177e+00,1.016567149144311166e+01
6.800000000000000711e+00,5.635296290489964832e+00,1.042393629048996395e+01
6.900000000000000355e+00,5.681592452738373211e+00,1.060963245273837430e+01
7.000000000000000000e+00,5.804191067958172745e+00,1.087363106795817380e+01
7.100000000000000533e+00,5.923291599481429692e+00,1.113613159948143227e+01
7.200000000000000178e+00,5.900044571080899303e+00,1.125828457108090142e+01
7.300000000000000711e+00,6.026444071769596178e+00,1.153208407176959760e+01
7.400000000000000355e+00,6.126425666995041652e+00,1.178146566699504305e+01
7.500000000000000000e+00,6.219328737367841420e+00,1.202576873736784258e+01
7.600000000000000533e+00,6.324172655029317802e+00,1.228401265502931849e+01
7.700000000000000178e+00,6.383356176018297745e+00,1.249859617601829953e+01
7.800000000000000711e+00,6.439276607712433709e+00,1.271191660771243725e+01
7.900000000000000355e+00,6.511040912843263584e+00,1.294308091284326423e+01
8.000000000000000000e+00,6.602544669645332043e+00,1.319598466964533223e+01
